Company_Phone_Number,Created_Date,Violation_Date,Consumer_City,Consumer_State,Consumer_Area_Code,Subject,Recorded_Message_Or_Robocall
2175312533,2019-11-13 00:00:15,2019-11-04 14:45:00,SEATTLE,Washington,206,No Subject Provided,Y
8008099820,2019-11-13 00:02:40,2019-11-01 12:08:00,saint louis,Missouri,314,"Calls pretending to be government, businesses, or family and friends",Y
2063377036,2019-11-13 00:02:50,2019-11-11 12:17:00,SEATTLE,Washington,206,No Subject Provided,Y
2063377036,2019-11-13 00:04:11,2019-10-14 12:20:00,SEATTLE,Washington,206,No Subject Provided,Y
3257547920,2019-11-13 00:06:35,2019-11-12 17:01:00,San Angelo,Texas,325,Warranties  & protection plans,Y
8008832477,2019-11-13 00:07:33,2019-11-12 19:40:00,,Virginia,703,Dropped call or no message,Y
5122219085,2019-11-13 00:08:03,2019-11-12 17:47:00,Elgin,Texas,512,Home improvement  & cleaning,N
8008832477,2019-11-13 00:09:17,2019-11-12 15:56:00,,Virginia,703,Dropped call or no message,Y
2627049930,2019-11-13 00:09:23,2019-11-11 08:04:00,Mar Vista,California,210,"Calls pretending to be government, businesses, or family and friends",Y
9738609321,2019-11-13 00:09:41,2019-11-12 16:40:00,,New Jersey,908,"Calls pretending to be government, businesses, or family and friends",Y
2627049930,2019-11-13 00:10:05,2019-11-11 11:50:00,Mar Vista,California,210,"Calls pretending to be government, businesses, or family and friends",Y
7035252483,2019-11-13 00:10:11,2019-11-12 18:15:00,,Virginia,703,No Subject Provided,N
2627049930,2019-11-13 00:11:05,2019-11-11 16:01:00,Mar Vista,California,210,"Calls pretending to be government, businesses, or family and friends",Y
2627049930,2019-11-13 00:11:38,2019-11-11 17:33:00,Mar Vista,California,210,"Calls pretending to be government, businesses, or family and friends",Y
8853394467,2019-11-13 00:12:49,2019-11-12 12:30:00,Los Angeles,California,925,"Calls pretending to be government, businesses, or family and friends",Y
8136134532,2019-11-13 00:12:52,2019-11-12 06:31:00,,Florida,813,Warranties  & protection plans,Y
9083485013,2019-11-13 00:13:47,2019-11-12 16:40:00,NORTH PLAINFIELD,New Jersey,908,"Calls pretending to be government, businesses, or family and friends",Y
2565008459,2019-11-13 00:15:48,2019-10-02 13:16:00,Los Angeles,California,925,"Calls pretending to be government, businesses, or family and friends",Y
6096069030,2019-11-13 00:16:15,2019-11-12 14:49:00,NORTH PLAINFIELD,New Jersey,908,Computer  & technical support,Y
77421118,2019-11-13 00:16:31,2019-10-30 15:50:00,Yorba Linda,California,714,Home improvement  & cleaning,N
8003250778,2019-11-13 00:18:16,2019-05-13 11:37:00,Los Angeles,California,925,"Calls pretending to be government, businesses, or family and friends",Y
3238780680,2019-11-13 00:18:29,2019-10-31 12:03:00,Yorba Linda,California,714,No Subject Provided,N
6072108156,2019-11-13 00:19:50,2019-11-12 09:28:00,Vero Beach,Florida,772,"Calls pretending to be government, businesses, or family and friends",N
7144721118,2019-11-13 00:20:57,2019-10-30 15:50:00,Yorba Linda,California,714,Home improvement  & cleaning,N
5131351497,2019-11-13 00:21:54,2019-11-12 10:43:00,Beavercreek,Ohio,937,Dropped call or no message,N
4242925323,2019-11-13 00:22:26,2019-10-30 15:45:00,Yorba Linda,California,714,Home improvement  & cleaning,N
7025292649,2019-11-13 00:22:29,2019-11-12 18:13:00,,California,760,Dropped call or no message,Y
4604040354,2019-11-13 00:22:51,2019-11-12 18:58:00,Beavercreek,Ohio,937,Dropped call or no message,N
4024280625,2019-11-13 00:23:41,2019-10-31 13:19:00,Yorba Linda,California,714,Home improvement  & cleaning,N
2065128477,2019-11-13 00:14:15,2019-11-09 14:45:00,,Oregon,503,No Subject Provided,Y
2816820650,2019-11-13 00:24:27,2019-09-03 08:59:00,Los Angeles,California,925,"Reducing your debt (credit cards, mortgage, student loans)",Y
7024702790,2019-11-13 00:24:45,2019-11-12 14:11:00,,California,760,Dropped call or no message,Y
3109127426,2019-11-13 00:25:00,2019-10-31 12:20:00,Yorba Linda,California,714,Home improvement  & cleaning,N
8563554940,2019-11-13 00:25:04,2019-11-12 16:01:00,Muncy,Pennsylvania,570,No Subject Provided,Y
2053153886,2019-11-13 00:25:40,2019-11-05 09:05:00,Chattanooga,Tennessee,423,"Lotteries, prizes  & sweepstakes",N
4848534100,2019-11-13 00:26:31,2019-11-12 16:59:00,Muncy,Pennsylvania,570,No Subject Provided,Y
4347351361,2019-11-13 00:26:38,2019-10-31 12:16:00,Yorba Linda,California,714,Home improvement  & cleaning,N
8777729783,2019-11-13 00:27:11,2019-09-11 13:40:00,Los Angeles,California,925,"Reducing your debt (credit cards, mortgage, student loans)",Y
2674282692,2019-11-13 00:27:45,2019-11-12 18:49:00,Muncy,Pennsylvania,570,No Subject Provided,Y
2542042495,2019-11-13 00:27:59,2019-11-12 17:50:00,STEPHENVILLE,Texas,254,"Calls pretending to be government, businesses, or family and friends",Y
4347351361,2019-11-13 00:28:33,2019-10-31 12:19:00,Yorba Linda,California,714,Home improvement  & cleaning,N
7026759620,2019-11-13 00:28:43,2019-11-12 17:19:00,Haleiwa,Hawaii,808,Vacation  & timeshares,N
