Company_Phone_Number,Created_Date,Violation_Date,Consumer_City,Consumer_State,Consumer_Area_Code,Subject,Recorded_Message_Or_Robocall
8886171722,2019-11-28 00:00:38,2019-11-27 09:23:00,Spofford,New Hampshire,603,Dropped call or no message,Y
2762184395,2019-11-28 00:01:41,2019-11-26 14:32:00,Glen Allen,Virginia,804,No Subject Provided,Y
9544296717,2019-11-28 00:02:49,2019-11-27 10:08:00,Spofford,New Hampshire,603,Dropped call or no message,Y
6032272780,2019-11-28 00:03:54,2019-11-27 12:36:00,Spofford,New Hampshire,603,Dropped call or no message,Y
3052035463,2019-11-28 00:04:33,2019-11-24 08:09:00,"Hialeah, Gardens",Florida,305,Medical  & prescriptions,N
3052035463,2019-11-28 00:04:48,2019-11-24 08:09:00,"Hialeah, Gardens",Florida,305,Medical  & prescriptions,N
9123806081,2019-11-28 00:04:54,2019-11-27 13:04:00,Spofford,New Hampshire,603,Dropped call or no message,Y
8773002584,2019-11-28 00:05:16,2019-11-27 19:39:00,Chicago,Illinois,312,Dropped call or no message,Y
6026026000,2019-11-28 00:06:01,2019-11-27 19:15:00,,Texas,512,No Subject Provided,Y
9733079198,2019-11-28 00:06:15,2019-11-27 18:32:00,Spofford,New Hampshire,603,Dropped call or no message,Y
5129411952,2019-11-28 00:06:39,2019-11-27 16:49:00,,Texas,512,No Subject Provided,Y
2099578719,2019-11-28 00:06:45,2019-05-27 20:50:00,,California,209,Other,N
9014504310,2019-11-28 00:08:40,2019-11-24 08:11:00,HIALEAH GARDENS,Florida,305,Medical  & prescriptions,N
5102793226,2019-11-28 00:13:05,2019-11-27 11:18:00,El Cerrito,California,510,Dropped call or no message,N
9282336132,2019-11-28 00:14:59,2019-11-27 20:53:00,,Arizona,928,No Subject Provided,Y
6194784123,2019-11-28 00:16:09,2019-11-27 13:02:00,El Cerrito,California,510,Medical  & prescriptions,N
9282724212,2019-11-28 00:16:32,2019-11-26 18:22:00,,Arizona,928,No Subject Provided,Y
9284330661,2019-11-28 00:18:05,2019-11-25 20:20:00,,Arizona,928,No Subject Provided,Y
5104633870,2019-11-28 00:18:50,2019-11-27 12:58:00,El Cerrito,California,510,Medical  & prescriptions,N
9282336132,2019-11-28 00:18:59,2019-11-24 18:52:00,,Arizona,928,No Subject Provided,Y
8286726277,2019-11-28 00:20:13,2019-11-25 11:01:00,Raleigh,North Carolina,919,No Subject Provided,N
9284015990,2019-11-28 00:20:17,2019-11-24 09:50:00,,Arizona,928,No Subject Provided,Y
9288513410,2019-11-28 00:21:14,2019-11-22 16:31:00,,Arizona,928,No Subject Provided,Y
9197282121,2019-11-28 00:21:16,2019-11-27 20:48:00,Raleigh,North Carolina,919,No Subject Provided,N
9196293309,2019-11-28 00:22:27,2019-11-27 16:32:00,Raleigh,North Carolina,919,No Subject Provided,N
3058340284,2019-11-28 00:22:58,2019-11-24 08:09:00,HIALEAH GARDENS,Florida,305,No Subject Provided,N
8009452000,2019-11-28 00:22:59,2019-10-07 14:43:00,,Arizona,928,No Subject Provided,Y
9058434109,2019-11-28 00:24:05,2019-11-27 15:19:00,Raleigh,North Carolina,919,No Subject Provided,N
9193484790,2019-11-28 00:25:30,2019-11-27 14:53:00,Raleigh,North Carolina,919,No Subject Provided,N
4134933878,2019-11-28 00:26:01,2019-11-27 11:00:00,Macomb Township,Michigan,586,Computer  & technical support,Y
8009505114,2019-11-28 00:26:04,2019-11-27 16:05:00,,Tennessee,615,Dropped call or no message,Y
9193484655,2019-11-28 00:26:42,2019-11-27 12:06:00,Raleigh,North Carolina,919,No Subject Provided,N
5615109839,2019-11-28 00:26:55,2019-11-27 06:02:00,Jacksonville,Florida,904,Dropped call or no message,N
9194293119,2019-11-28 00:27:38,2019-11-27 11:17:00,Raleigh,North Carolina,919,No Subject Provided,N
3364387171,2019-11-28 00:28:51,2019-11-27 11:08:00,Raleigh,North Carolina,919,No Subject Provided,N
7028277496,2019-11-28 00:29:05,2019-11-27 13:43:00,Sumter,South Carolina,803,"Calls pretending to be government, businesses, or family and friends",Y
6032034280,2019-11-28 00:29:37,2019-11-26 17:33:00,Durham,North Carolina,603,Warranties  & protection plans,Y
9195849800,2019-11-28 00:29:58,2019-11-26 18:20:00,Raleigh,North Carolina,919,No Subject Provided,N
7044228357,2019-11-28 00:31:15,2019-11-26 17:17:00,Raleigh,North Carolina,919,No Subject Provided,N
8036724981,2019-11-28 00:31:16,2019-11-27 14:16:00,Purcellville,Virginia,540,"Calls pretending to be government, businesses, or family and friends",Y
8007774681,2019-11-28 00:31:31,2019-11-27 16:30:00,,Illinois,815,Other,N
5598851511,2019-11-28 00:31:32,2019-11-26 20:58:00,Fresno,California,559,No Subject Provided,Y
7023768961,2019-11-28 00:33:23,2019-11-25 11:01:00,Kingwood,Texas,702,Warranties  & protection plans,Y
8009514642,2019-11-28 00:34:32,2019-11-27 14:00:00,,California,909,"Calls pretending to be government, businesses, or family and friends",Y
5592357310,2019-11-28 00:34:54,2019-11-22 10:46:00,Fresno,California,559,Warranties  & protection plans,Y
5713323359,2019-11-28 00:34:59,2019-11-27 11:27:00,SPRINGFIELD,Virginia,703,Home improvement  & cleaning,N
4671666079,2019-11-28 00:35:01,2019-11-27 15:51:00,Gaithersburg,Maryland,301,"Energy, solar,  & utilities",Y
3016857810,2019-11-28 00:36:01,2019-11-27 13:08:00,Gaithersburg,Maryland,301,Home improvement  & cleaning,Y
3019907192,2019-11-28 00:36:55,2019-11-27 11:44:00,Gaithersburg,Maryland,301,"Reducing your debt (credit cards, mortgage, student loans)",Y
2029216168,2019-11-28 00:37:31,2019-11-27 17:02:00,Gaithersburg,Maryland,301,Dropped call or no message,Y
5039949032,2019-11-28 00:37:51,2019-11-27 00:00:00,,Oregon,503,Computer  & technical support,Y
6614304455,2019-11-28 00:38:48,2019-11-26 14:07:00,Stuart,Florida,561,Other,Y
7033778861,2019-11-28 00:41:15,2019-11-27 11:05:00,SPRINGFIELD,Virginia,703,"Calls pretending to be government, businesses, or family and friends",Y
2088271366,2019-11-28 00:42:09,2019-11-21 12:16:00,,Idaho,208,Dropped call or no message,Y
2086596937,2019-11-28 00:43:08,2019-11-22 12:09:00,,Idaho,208,Dropped call or no message,Y
8558025150,2019-11-28 00:44:03,2019-11-25 11:33:00,,Idaho,208,Dropped call or no message,Y
2622296411,2019-11-28 00:44:32,2019-11-27 17:23:00,MONTELLO,Wisconsin,608,"Calls pretending to be government, businesses, or family and friends",N
2082319673,2019-11-28 00:44:57,2019-11-26 10:58:00,,Idaho,208,Dropped call or no message,Y
8558025150,2019-11-28 00:45:49,2019-11-27 11:25:00,,Idaho,208,Dropped call or no message,Y
9202841168,2019-11-28 00:49:35,2019-11-27 09:22:00,Philadelphia,Pennsylvania,215,No Subject Provided,Y
,2019-11-28 00:51:06,2019-11-27 00:00:00,Beaverton,Oregon,503,Medical  & prescriptions,Y
2157135673,2019-11-28 00:51:24,2019-11-27 11:13:00,Philadelphia,Pennsylvania,215,No Subject Provided,Y
2072726723,2019-11-28 00:51:26,2019-11-25 09:33:00,,Maine,207,No Subject Provided,N
8552457098,2019-11-28 00:52:06,2019-11-27 13:02:00,Philadelphia,Pennsylvania,215,No Subject Provided,Y
8006698488,2019-11-28 00:52:51,2019-11-27 14:53:00,Philadelphia,Pennsylvania,215,No Subject Provided,Y
4404550542,2019-11-28 00:53:37,2019-11-27 16:39:00,Philadelphia,Pennsylvania,215,No Subject Provided,Y
8282758295,2019-11-28 00:53:41,2019-11-27 15:54:00,Kalispell,Montana,828,No Subject Provided,Y
8435945036,2019-11-28 00:54:42,2019-11-27 14:28:00,Kalispell,Montana,828,No Subject Provided,Y
7324941654,2019-11-28 00:59:30,2019-11-25 16:33:00,Edison,New Jersey,908,Dropped call or no message,Y
5592580298,2019-11-28 01:01:05,2019-11-27 12:19:00,Edison,New Jersey,908,"Reducing your debt (credit cards, mortgage, student loans)",Y
2242428309,2019-11-28 01:02:22,2019-11-27 10:18:00,,Illinois,708,No Subject Provided,
2132672775,2019-11-28 01:01:25,2019-11-27 21:52:00,Panorama City,California,213,Other,Y
7042435004,2019-11-28 01:02:51,2019-11-26 11:15:00,Edison,New Jersey,732,Dropped call or no message,Y
8669972909,2019-11-28 01:04:19,2019-11-26 11:21:00,Edison,New Jersey,732,Dropped call or no message,Y
6023741712,2019-11-28 01:05:49,2019-11-27 05:46:00,Placentia,California,714,Dropped call or no message,N
7324029042,2019-11-28 01:06:42,2019-11-26 12:00:00,Edison,New Jersey,732,Dropped call or no message,Y
,2019-11-28 01:06:56,2019-11-27 00:00:00,Newbury Park,California,805,Computer  & technical support,N
9728768424,2019-11-28 01:08:22,2019-11-27 07:27:00,,California,972,Dropped call or no message,Y
8482510846,2019-11-28 01:09:40,2019-11-26 14:34:00,Edison,New Jersey,732,Dropped call or no message,Y
8662445257,2019-11-28 01:10:07,2019-11-26 00:00:00,DeKalb,Illinois,815,"Calls pretending to be government, businesses, or family and friends",Y
7323480432,2019-11-28 01:11:32,2019-11-27 14:53:00,Edison,New Jersey,732,Dropped call or no message,Y
6187679276,2019-11-28 01:14:39,2019-11-27 16:57:00,,Illinois,630,Charities,N
3235437216,2019-11-28 01:15:21,2019-11-26 18:02:00,,California,949,No Subject Provided,N
6513718502,2019-11-28 01:16:07,2019-11-26 15:30:00,,Minnesota,763,"Calls pretending to be government, businesses, or family and friends",N
7165597373,2019-11-28 01:17:07,2019-11-27 15:57:00,Rockwall,Texas,214,Other,N
6513718486,2019-11-28 01:17:12,2019-11-26 11:18:00,,Minnesota,763,"Calls pretending to be government, businesses, or family and friends",N
0005593985,2019-11-28 01:19:48,2019-11-27 00:00:00,DeKalb,Illinois,815,"Reducing your debt (credit cards, mortgage, student loans)",Y
,2019-11-28 01:20:45,2019-11-27 23:12:00,MAR DEL PLATA,Pennsylvania,223,Other,Y
8443355555,2019-11-28 01:27:47,2019-11-27 13:08:00,new waverly,Texas,713,No Subject Provided,Y
9472080448,2019-11-28 01:28:01,2019-11-27 14:07:00,,Michigan,313,No Subject Provided,Y
7344124662,2019-11-28 01:29:42,2019-11-27 14:50:00,,Michigan,313,No Subject Provided,Y
,2019-11-28 01:29:43,2019-11-27 14:27:00,Chesapeake,Virginia,800,Computer  & technical support,Y
8013534058,2019-11-28 01:30:17,2019-11-26 08:39:00,Provo,Utah,801,"Reducing your debt (credit cards, mortgage, student loans)",Y
5407795541,2019-11-28 01:34:37,2019-11-27 20:39:00,,New Jersey,201,No Subject Provided,Y
2014726969,2019-11-28 01:35:14,2019-11-27 12:50:00,,New Jersey,201,No Subject Provided,Y
5164265281,2019-11-28 01:36:18,2019-11-28 12:31:00,,New York,516,Warranties  & protection plans,Y
8666111148,2019-11-28 01:36:29,2019-11-27 05:19:00,,Hawaii,808,"Reducing your debt (credit cards, mortgage, student loans)",Y
7083008652,2019-11-28 01:37:34,2019-11-25 06:30:00,Fullerton,California,708,Medical  & prescriptions,N
8013572112,2019-11-28 01:39:38,2019-11-26 07:58:00,Provo,Utah,801,"Reducing your debt (credit cards, mortgage, student loans)",Y
3173439539,2019-11-28 01:43:47,2019-11-27 14:04:00,McLean,Nebraska,402,Medical  & prescriptions,N
8449431213,2019-11-28 01:48:50,2019-11-26 17:54:00,Turkey Creek,Kentucky,606,Computer  & technical support,Y
3109127417,2019-11-28 01:51:05,2019-11-27 16:00:00,Kerman,California,559,Dropped call or no message,N
,2019-11-28 01:54:05,2019-11-27 23:40:00,Doral,Florida,786,Other,N
2485938552,2019-11-28 01:58:39,2019-11-19 15:02:00,Mount Morris,Michigan,810,"Reducing your debt (credit cards, mortgage, student loans)",Y
3463477606,2019-11-28 01:58:53,2019-11-27 10:49:00,Tacoma,Washington,253,Other,Y
7345958971,2019-11-28 01:59:55,2019-11-21 13:37:00,Mount Morris,Michigan,810,"Reducing your debt (credit cards, mortgage, student loans)",Y
7342910591,2019-11-28 02:00:59,2019-11-22 18:23:00,Mount Morris,Michigan,810,"Reducing your debt (credit cards, mortgage, student loans)",Y
3680073250,2019-11-28 02:01:22,2019-11-25 10:17:00,Philadelphia,Pennsylvania,267,Dropped call or no message,N
2132027985,2019-11-28 02:02:13,2019-11-26 13:25:00,Winnetka,California,818,"Calls pretending to be government, businesses, or family and friends",Y
7752097437,2019-11-28 02:03:06,2019-11-25 15:25:00,Mount Morris,Michigan,810,Work from home  & other ways to make money,Y
8886102960,2019-11-28 02:04:39,2019-11-25 17:04:00,Mount Morris,Michigan,810,Other,Y
2679033448,2019-11-28 02:06:20,2019-11-25 15:43:00,Philadelphia,Pennsylvania,267,No Subject Provided,Y
8103661002,2019-11-28 02:06:46,2019-11-26 09:21:00,Mount Morris,Michigan,810,Other,N
4242276231,2019-11-28 02:07:50,2019-11-27 12:06:00,Torrance,California,424,"Calls pretending to be government, businesses, or family and friends",Y
9253483049,2019-11-28 02:08:40,2019-11-27 05:30:00,,California,925,Other,Y
2674168505,2019-11-28 02:09:33,2019-11-26 10:44:00,Philadelphia,Pennsylvania,267,No Subject Provided,Y
2134010339,2019-11-28 02:14:14,2019-11-08 09:51:00,Winnetka,California,818,"Calls pretending to be government, businesses, or family and friends",Y
4245801788,2019-11-28 02:17:46,2019-11-27 13:08:00,Torrance,California,424,"Reducing your debt (credit cards, mortgage, student loans)",Y
5136257688,2019-11-28 02:18:59,2019-11-27 19:34:00,,Ohio,513,No Subject Provided,N
8772935812,2019-11-28 02:21:17,2019-11-27 19:01:00,,Ohio,513,No Subject Provided,N
2105692811,2019-11-28 02:22:21,2019-11-28 01:00:00,San Antonio,Texas,210,Other,Y
4242538819,2019-11-28 02:28:03,2019-11-25 13:47:00,,California,424,No Subject Provided,Y
5204236256,2019-11-28 02:28:42,2019-11-27 12:00:00,Peoria,Arizona,623,Dropped call or no message,Y
5204236256,2019-11-28 02:30:09,2019-11-27 16:03:00,Peoria,Arizona,623,Dropped call or no message,Y
,2019-11-28 02:30:54,2019-11-25 13:47:00,,California,424,No Subject Provided,N
4242538819,2019-11-28 02:32:59,2019-11-25 13:47:00,,California,424,No Subject Provided,N
8183986371,2019-11-28 02:36:42,2019-11-22 17:52:00,,California,424,No Subject Provided,Y
8183986371,2019-11-28 02:38:30,2019-11-22 17:52:00,,California,424,No Subject Provided,N
9164322985,2019-11-28 02:39:43,2019-11-27 13:18:00,Sacramento,California,916,No Subject Provided,Y
8722469506,2019-11-28 02:43:48,2019-11-26 14:06:00,,Wisconsin,920,No Subject Provided,N
,2019-11-28 02:46:11,2019-11-25 15:00:00,Danville,Illinois,217,"Reducing your debt (credit cards, mortgage, student loans)",Y
,2019-11-28 02:46:29,2019-11-27 09:46:00,,,800,No Subject Provided,Y
,2019-11-28 02:46:40,2019-11-25 15:00:00,Danville,Illinois,217,"Reducing your debt (credit cards, mortgage, student loans)",Y
,2019-11-28 02:46:45,2019-11-25 15:00:00,Danville,Illinois,217,"Reducing your debt (credit cards, mortgage, student loans)",Y
8476549295,2019-11-28 02:48:18,2019-11-27 13:54:00,Buffalo Grove,Illinois,847,Dropped call or no message,Y
,2019-11-28 02:54:33,2019-11-28 00:00:00,Henderson,Kentucky,270,Computer  & technical support,Y
7372031815,2019-11-28 02:55:07,2019-11-27 22:52:00,Austin,Texas,512,"Reducing your debt (credit cards, mortgage, student loans)",Y
8138811700,2019-11-28 02:58:36,2019-11-28 02:18:00,,Florida,727,Other,Y
8056377243,2019-11-28 02:59:38,2019-11-28 02:58:00,,Florida,727,No Subject Provided,Y
,2019-11-28 03:00:26,2019-11-20 13:54:00,Pleasanton,California,925,"Calls pretending to be government, businesses, or family and friends",Y
9104279779,2019-11-28 03:01:19,2019-11-27 15:48:00,Cortez,Colorado,970,No Subject Provided,Y
3129404840,2019-11-28 03:01:39,2019-11-27 10:36:00,Akron,Ohio,330,"Calls pretending to be government, businesses, or family and friends",Y
5203412109,2019-11-28 03:12:40,2019-11-20 11:01:00,Glendale,Arizona,623,Work from home  & other ways to make money,Y
3306944510,2019-11-28 03:13:13,2019-11-27 10:50:00,,Ohio,216,No Subject Provided,Y
6144328529,2019-11-28 03:14:43,2019-11-27 15:01:00,,Ohio,216,No Subject Provided,N
2242421986,2019-11-28 03:15:48,2019-11-11 12:23:00,Glenview,Illinois,847,Dropped call or no message,Y
6469706544,2019-11-28 03:16:29,2019-11-07 18:25:00,Glenview,Illinois,847,Dropped call or no message,Y
8474430424,2019-11-28 03:17:30,2019-11-12 13:55:00,Glenview,Illinois,847,Dropped call or no message,Y
6469706544,2019-11-28 03:18:10,2019-11-11 13:52:00,Glenview,Illinois,847,Dropped call or no message,Y
,2019-11-28 03:18:52,2019-09-04 06:10:00,,California,626,"Calls pretending to be government, businesses, or family and friends",N
5748913034,2019-11-28 03:21:16,2019-11-28 15:39:00,Kansas City,Kansas,913,No Subject Provided,Y
8728068213,2019-11-28 03:22:34,2019-11-12 14:05:00,Glenview,Illinois,847,Dropped call or no message,Y
3096364668,2019-11-28 03:23:35,2019-11-13 20:37:00,Glenview,Illinois,847,Dropped call or no message,Y
9133499311,2019-11-28 03:23:53,2019-11-28 11:45:00,Kansas City,Kansas,913,No Subject Provided,Y
6469706544,2019-11-28 03:24:23,2019-11-14 14:32:00,Glenview,Illinois,847,Dropped call or no message,Y
6469706544,2019-11-28 03:25:05,2019-11-14 13:43:00,Glenview,Illinois,847,Dropped call or no message,Y
6469706544,2019-11-28 03:25:42,2019-11-15 14:10:00,Glenview,Illinois,847,Dropped call or no message,Y
3865183406,2019-11-28 03:26:26,2019-11-26 14:36:00,Kansas City,Kansas,913,No Subject Provided,Y
3096364668,2019-11-28 03:26:30,2019-11-14 15:37:00,Glenview,Illinois,847,Dropped call or no message,Y
3096364668,2019-11-28 03:27:19,2019-11-15 16:17:00,Glenview,Illinois,847,Dropped call or no message,Y
6469706544,2019-11-28 03:28:00,2019-11-15 14:44:00,Glenview,Illinois,847,Dropped call or no message,Y
3096364668,2019-11-28 03:28:47,2019-11-18 20:40:00,Glenview,Illinois,847,Dropped call or no message,Y
8476495697,2019-11-28 03:29:27,2019-11-18 18:29:00,Glenview,Illinois,847,Dropped call or no message,Y
9702358922,2019-11-28 03:30:01,2019-11-27 14:13:00,Loveland,Colorado,970,Dropped call or no message,N
7736729920,2019-11-28 03:30:22,2019-11-19 10:56:00,Glenview,Illinois,847,Dropped call or no message,Y
,2019-11-28 03:30:40,2019-11-28 00:00:00,,California,510,Other,N
8152708300,2019-11-28 03:31:01,2019-11-19 09:39:00,Glenview,Illinois,847,Dropped call or no message,Y
3096364668,2019-11-28 03:31:51,2019-11-19 13:40:00,Glenview,Illinois,847,Dropped call or no message,Y
9133478437,2019-11-28 03:32:01,2019-11-26 14:31:00,Kansas City,Kansas,913,No Subject Provided,N
6469706544,2019-11-28 03:32:28,2019-11-19 11:52:00,Glenview,Illinois,847,Dropped call or no message,Y
6469706544,2019-11-28 03:33:13,2019-11-20 10:44:00,Glenview,Illinois,847,Dropped call or no message,Y
8176658325,2019-11-28 03:34:07,2019-11-19 18:24:00,Glenview,Illinois,847,Dropped call or no message,Y
9133499369,2019-11-28 03:34:18,2019-11-26 10:36:00,Kansas City,Kansas,913,No Subject Provided,N
7602687284,2019-11-28 03:34:37,2019-11-27 13:03:00,Barstow,California,760,No Subject Provided,N
6469706544,2019-11-28 03:34:47,2019-11-21 10:52:00,Glenview,Illinois,847,Dropped call or no message,Y
