Company_Phone_Number,Created_Date,Violation_Date,Consumer_City,Consumer_State,Consumer_Area_Code,Subject,Recorded_Message_Or_Robocall
4029890323,2019-10-30 00:00:37,2019-10-29 16:57:00,Omaha,Nebraska,402,Warranties  & protection plans,Y
8132620252,2019-10-30 00:01:28,2019-10-29 19:53:00,Langlois,Oregon,541,Dropped call or no message,Y
8179042347,2019-10-30 00:13:39,2019-10-29 10:43:00,,California,415,No Subject Provided,Y
9562537572,2019-10-30 00:43:29,2019-10-30 16:22:00,,North Carolina,336,No Subject Provided,Y
2169258885,2019-10-30 00:56:10,2019-10-28 12:59:00,,Ohio,216,No Subject Provided,Y
8177176219,2019-10-30 00:20:17,2019-10-29 00:00:00,,Washington,360,No Subject Provided,Y
2543140451,2019-10-30 00:57:42,2019-10-28 16:30:00,,Ohio,216,No Subject Provided,N
2491322692,2019-10-30 00:59:24,2019-10-29 15:41:00,,Ohio,216,No Subject Provided,N
2167649166,2019-10-30 01:01:08,2019-10-29 16:17:00,,Ohio,216,No Subject Provided,N
4404443444,2019-10-30 01:04:40,2019-10-29 08:08:00,,Ohio,440,No Subject Provided,N
5055876037,2019-10-30 01:06:46,2019-10-28 11:37:00,,New Mexico,575,No Subject Provided,N
8009452000,2019-10-30 01:06:57,2019-10-29 17:11:00,,Ohio,440,No Subject Provided,N
8002858585,2019-10-30 01:09:26,2019-10-29 18:12:00,,Ohio,440,No Subject Provided,N
7409266040,2019-10-30 01:11:02,2019-10-29 14:24:00,,New Mexico,575,No Subject Provided,N
6263598585,2019-10-30 01:15:15,2019-10-29 00:00:00,,California,626,No Subject Provided,Y
3234907850,2019-10-30 01:17:45,2019-10-29 12:46:00,,California,323,No Subject Provided,N
5613431039,2019-10-30 01:17:37,2019-10-29 14:08:00,West Palm Beach,Florida,561,No Subject Provided,N
8003913000,2019-10-30 01:19:09,2019-10-29 14:03:00,West Palm Beach,Florida,561,No Subject Provided,N
3142021289,2019-10-30 01:19:30,2019-10-29 09:54:00,,Missouri,314,No Subject Provided,N
3013510718,2019-10-30 01:20:07,2019-10-01 02:15:00,Akron,Alabama,301,Charities,N
3013510718,2019-10-30 01:21:04,2018-12-01 08:02:00,Akron,Alabama,301,Other,N
7572192449,2019-10-30 01:21:48,2019-10-29 12:23:00,,California,323,No Subject Provided,N
9198277462,2019-10-30 01:25:15,2019-10-30 01:17:00,Morrisville,North Carolina,919,No Subject Provided,N
9166715530,2019-10-30 01:26:53,2019-10-29 21:29:00,,California,626,No Subject Provided,N
3013510718,2019-10-30 01:26:57,2019-10-01 00:00:00,,Maryland,301,Medical  & prescriptions,N
8885114755,2019-10-30 01:28:08,2019-10-28 15:18:00,Hesperia,California,909,"Calls pretending to be government, businesses, or family and friends",Y
2099184765,2019-10-30 01:29:31,2019-10-27 10:27:00,Stockton,California,209,No Subject Provided,Y
5127578187,2019-10-30 01:31:20,2019-10-28 17:51:00,Stockton,California,209,Other,Y
2095843754,2019-10-30 01:32:31,2019-10-28 10:18:00,Stockton,California,209,No Subject Provided,Y
9724277373,2019-10-30 01:32:33,2019-10-29 15:18:00,,California,972,Dropped call or no message,Y
7405553265,2019-10-30 01:33:48,2019-10-29 12:05:00,,California,972,Dropped call or no message,Y
,2019-10-30 01:34:20,2019-10-26 16:24:00,Stockton,California,209,Medical  & prescriptions,Y
9493594993,2019-10-30 01:35:17,2019-10-28 18:38:00,,California,209,No Subject Provided,Y
2095651722,2019-10-30 01:36:49,2019-10-29 07:00:00,Stockton,California,209,No Subject Provided,Y
5305902416,2019-10-30 01:37:44,2019-10-29 10:13:00,,California,209,No Subject Provided,Y
8667690139,2019-10-30 01:38:35,2019-10-29 10:17:00,Stockton,California,209,Computer  & technical support,Y
2096512092,2019-10-30 01:39:24,2019-10-29 14:18:00,,California,209,No Subject Provided,Y
5053560374,2019-10-30 01:40:28,2019-10-29 16:40:00,,Texas,281,No Subject Provided,N
5127578187,2019-10-30 01:40:56,2019-10-29 16:54:00,Stockton,California,209,Other,Y
2092325532,2019-10-30 01:41:23,2019-10-29 17:19:00,,California,209,No Subject Provided,Y
