Company_Phone_Number,Created_Date,Violation_Date,Consumer_City,Consumer_State,Consumer_Area_Code,Subject,Recorded_Message_Or_Robocall
2136371300,2019-11-08 00:00:51,2019-11-08 00:00:51,,Minnesota,218,No Subject Provided,N
5594309075,2019-11-08 00:01:19,2019-11-07 18:47:00,Fresno,California,559,Other,N
8337121155,2019-11-08 00:01:27,2019-11-06 17:15:00,Fairborn,Ohio,937,No Subject Provided,N
9562208314,2019-11-08 00:02:34,2019-11-07 20:38:00,Laredo,Texas,956,Warranties  & protection plans,Y
,2019-11-08 00:04:14,2019-11-07 10:47:00,Milwaukie,Oregon,503,"Calls pretending to be government, businesses, or family and friends",Y
7072091152,2019-11-08 00:02:39,2019-11-08 00:02:39,,Texas,682,No Subject Provided,Y
3165357472,2019-11-08 00:04:30,2019-11-06 09:39:00,,Kansas,620,Other,Y
9562208314,2019-11-08 00:05:24,2019-11-07 19:34:00,Laredo,Texas,940,Warranties  & protection plans,Y
8336068361,2019-11-08 00:06:17,2019-11-07 19:18:00,Grand Junction,Colorado,970,"Reducing your debt (credit cards, mortgage, student loans)",Y
9567278212,2019-11-08 00:07:59,2019-11-07 17:52:00,Laredo,Texas,614,"Calls pretending to be government, businesses, or family and friends",Y
8283522496,2019-11-08 00:04:41,2019-11-08 00:04:41,,North Carolina,828,No Subject Provided,N
2019,2019-11-08 00:04:28,2019-11-08 00:04:28,,Texas,940,No Subject Provided,Y
9804958171,2019-11-08 00:04:27,2019-11-08 00:04:27,,Washington,425,No Subject Provided,Y
+12692669976,2019-11-08 00:05:07,2019-11-08 00:05:07,,Michigan,269,No Subject Provided,Y
6202024606,2019-11-08 00:08:39,2019-11-06 00:01:00,,Kansas,620,Other,Y
6025844410,2019-11-08 00:09:08,2019-10-25 17:05:00,,Maryland,240,Work from home  & other ways to make money,Y
9375076488,2019-11-08 00:09:45,2019-11-06 15:52:00,Fairborn,Ohio,937,No Subject Provided,N
9562538131,2019-11-08 00:10:07,2019-11-07 23:37:00,Laredo,Texas,956,"Calls pretending to be government, businesses, or family and friends",N
6282505434,2019-11-08 00:11:40,2019-11-05 13:20:00,Yerington,Nevada,775,Work from home  & other ways to make money,Y
9562538131,2019-11-08 00:12:31,2019-11-07 23:37:00,Laredo,Texas,956,"Calls pretending to be government, businesses, or family and friends",N
