Company_Phone_Number,Created_Date,Violation_Date,Consumer_City,Consumer_State,Consumer_Area_Code,Subject,Recorded_Message_Or_Robocall
4084928093,2019-10-18 00:33:06,2019-10-16 09:32:00,,California,408,"Calls pretending to be government, businesses, or family and friends",Y
8005577486,2019-10-18 00:33:09,2019-10-17 15:38:00,Lansing,Kansas,913,Dropped call or no message,N
9137445942,2019-10-18 00:33:48,2019-10-17 11:45:00,Grand Junction,Colorado,316,Other,Y
2013550858,2019-10-18 00:33:50,2019-10-17 13:41:00,Johns Creek,Georgia,770,"Calls pretending to be government, businesses, or family and friends",Y
2564054651,2019-10-18 00:34:05,2019-10-17 13:26:00,SEVERANCE,Colorado,970,No Subject Provided,Y
6692014330,2019-10-18 00:34:54,2019-10-16 10:37:00,,California,408,"Calls pretending to be government, businesses, or family and friends",Y
+17344126682,2019-10-18 00:20:04,2019-10-18 00:20:04,,Texas,726,No Subject Provided,Y
+19495160918,2019-10-18 00:20:57,2019-10-18 00:20:57,,Texas,214,No Subject Provided,Y
2262051279,2019-10-18 00:34:58,2019-10-17 13:39:00,Lansing,Kansas,913,Dropped call or no message,N
3523103623,2019-10-18 00:35:22,2019-10-17 11:16:00,,Florida,352,No Subject Provided,
5862928722,2019-10-18 00:35:24,2019-10-11 16:41:00,,Michigan,586,Warranties  & protection plans,Y
2564054651,2019-10-18 00:35:35,2019-10-17 17:55:00,SEVERANCE,Colorado,970,No Subject Provided,Y
8008269434,2019-10-18 00:36:09,2019-10-17 09:32:00,,California,408,"Lotteries, prizes  & sweepstakes",Y
9014443160,2019-10-18 00:36:25,2019-10-17 09:46:00,Lansing,Kansas,913,Dropped call or no message,N
2564054651,2019-10-18 00:37:00,2019-10-16 15:48:00,SEVERANCE,Colorado,970,No Subject Provided,Y
4126068530,2019-10-18 00:37:05,2019-10-17 14:57:00,Allison parl,Pennsylvania,412,No Subject Provided,Y
6692002497,2019-10-18 00:37:25,2019-10-17 09:19:00,,California,408,"Calls pretending to be government, businesses, or family and friends",Y
3528161440,2019-10-18 00:38:41,2019-10-17 10:50:00,,Florida,352,No Subject Provided,
,2019-10-18 00:37:35,2019-10-16 11:24:00,Edwardsville,Illinois,618,"Calls pretending to be government, businesses, or family and friends",Y
5862927621,2019-10-18 00:38:02,2019-10-02 14:56:00,,Michigan,586,"Calls pretending to be government, businesses, or family and friends",Y
9133477413,2019-10-18 00:38:06,2019-10-16 13:17:00,Lansing,Kansas,913,Dropped call or no message,N
4405363696,2019-10-18 00:39:16,2019-10-16 19:43:00,,Ohio,216,No Subject Provided,N
2564054651,2019-10-18 00:38:25,2019-10-16 10:10:00,SEVERANCE,Colorado,970,No Subject Provided,Y
4085669252,2019-10-18 00:39:00,2019-10-17 10:25:00,,California,408,"Calls pretending to be government, businesses, or family and friends",Y
8002524478,2019-10-18 00:39:21,2019-10-03 16:25:00,Newton,Iowa,800,Other,Y
9132501744,2019-10-18 00:39:23,2019-10-16 12:47:00,Lansing,Kansas,913,Dropped call or no message,N
8774104634,2019-10-18 00:39:39,2019-10-17 10:59:00,CORNVILLE,Arizona,928,Dropped call or no message,N
2564054651,2019-10-18 00:39:50,2019-10-16 18:07:00,SEVERANCE,Colorado,970,No Subject Provided,Y
5862924193,2019-10-18 00:40:01,2019-10-02 11:28:00,,Michigan,586,"Calls pretending to be government, businesses, or family and friends",Y
3476751511,2019-10-18 00:40:32,2019-10-17 16:12:00,,New York,347,No Subject Provided,Y
3525357996,2019-10-18 00:41:43,2019-10-16 12:42:00,,Florida,352,No Subject Provided,
8003333474,2019-10-18 00:40:59,2019-10-15 17:30:00,Lansing,Kansas,913,Dropped call or no message,N
3309985915,2019-10-18 00:41:50,2019-10-17 13:00:00,,Ohio,216,No Subject Provided,Y
2317872074,2019-10-18 00:42:13,2019-10-17 05:43:00,Phoenix,Arizona,480,Other,N
6366516049,2019-10-18 00:42:47,2019-10-15 13:23:00,Lansing,Kansas,913,Dropped call or no message,N
3522452529,2019-10-18 00:44:45,2019-10-16 12:01:00,,Florida,352,No Subject Provided,
4433138625,2019-10-18 00:44:05,2019-10-16 05:55:00,Phoenix,Arizona,480,Other,N
2253106169,2019-10-18 00:44:11,2019-10-15 09:12:00,Lansing,Kansas,913,Dropped call or no message,N
7029977455,2019-10-18 00:44:21,2019-10-17 13:53:00,Henderson,Nevada,702,"Energy, solar,  & utilities",Y
7029977478,2019-10-18 00:44:30,2019-10-17 18:10:00,Las Vegas,Nevada,702,"Energy, solar,  & utilities",Y
4783313884,2019-10-18 00:44:41,2019-10-16 12:56:00,Sacramento,California,916,"Reducing your debt (credit cards, mortgage, student loans)",Y
7209079045,2019-10-18 00:44:57,2019-10-05 14:24:00,SEVERANCE,Colorado,970,No Subject Provided,Y
2143961397,2019-10-18 00:46:02,2019-10-17 15:49:00,Henderson,Nevada,702,"Energy, solar,  & utilities",Y
4152152099,2019-10-18 00:46:15,2019-10-17 15:58:00,,California,415,"Reducing your debt (credit cards, mortgage, student loans)",Y
4152788475,2019-10-18 00:47:36,2019-10-17 14:51:00,,California,415,"Reducing your debt (credit cards, mortgage, student loans)",Y
8556006065,2019-10-18 00:47:38,2019-10-17 15:35:00,SEVERANCE,Colorado,970,No Subject Provided,Y
7029977478,2019-10-18 00:47:58,2019-10-17 17:28:00,Henderson,Nevada,702,"Energy, solar,  & utilities",Y
4158097672,2019-10-18 00:48:56,2019-10-17 13:24:00,,California,415,No Subject Provided,Y
8556006065,2019-10-18 00:48:59,2019-10-16 11:41:00,SEVERANCE,Colorado,970,No Subject Provided,Y
3524649414,2019-10-18 00:50:22,2019-10-17 13:18:00,,California,415,"Reducing your debt (credit cards, mortgage, student loans)",Y
4096328986,2019-10-18 00:51:05,2019-10-17 17:25:00,Galveston,Texas,409,"Calls pretending to be government, businesses, or family and friends",Y
4155303472,2019-10-18 00:51:31,2019-10-16 12:54:00,,California,415,No Subject Provided,Y
8008570324,2019-10-18 00:53:09,2019-10-11 09:40:00,,California,415,"Calls pretending to be government, businesses, or family and friends",Y
8002752273,2019-10-18 00:53:52,2019-10-17 15:05:00,,Michigan,586,No Subject Provided,Y
4065344242,2019-10-18 00:53:52,2019-10-17 13:43:00,Billings,Montana,406,"Reducing your debt (credit cards, mortgage, student loans)",Y
8638046043,2019-10-18 00:54:03,2019-10-16 11:40:00,Hillsboro,Oregon,503,Other,Y
4153982395,2019-10-18 00:54:33,2019-10-10 13:51:00,,California,415,"Calls pretending to be government, businesses, or family and friends",Y
6503407800,2019-10-18 00:55:31,2019-10-18 00:36:00,,Florida,813,No Subject Provided,N
8009452000,2019-10-18 00:55:33,2019-10-17 15:00:00,Billings,Montana,406,"Reducing your debt (credit cards, mortgage, student loans)",Y
4151479451,2019-10-18 00:55:40,2019-10-09 15:16:00,,California,415,"Calls pretending to be government, businesses, or family and friends",Y
8002752273,2019-10-18 00:56:01,2019-10-17 15:27:00,,Michigan,586,No Subject Provided,Y
4153795546,2019-10-18 00:56:46,2019-10-09 14:26:00,,California,415,"Calls pretending to be government, businesses, or family and friends",Y
9164808236,2019-10-18 00:57:03,2019-10-16 12:20:00,Henderson,Nevada,702,"Calls pretending to be government, businesses, or family and friends",Y
5851311595,2019-10-18 00:57:43,2019-10-09 09:40:00,,California,415,"Reducing your debt (credit cards, mortgage, student loans)",Y
8002752273,2019-10-18 00:58:38,2019-10-17 19:22:00,,Michigan,586,No Subject Provided,Y
5851348260,2019-10-18 00:58:39,2019-10-09 09:03:00,,California,415,"Reducing your debt (credit cards, mortgage, student loans)",Y
7422122158,2019-10-18 00:59:09,2019-10-17 16:00:00,Billings,Montana,406,Computer  & technical support,Y
5309131582,2019-10-18 00:59:46,2019-10-07 15:03:00,,California,415,"Reducing your debt (credit cards, mortgage, student loans)",Y
8164639023,2019-10-18 01:00:31,2019-10-17 00:00:00,,Missouri,573,No Subject Provided,N
8002752273,2019-10-18 01:00:32,2019-10-17 19:46:00,,Michigan,586,No Subject Provided,Y
9162494965,2019-10-18 01:00:34,2019-10-16 17:43:00,Billings,Montana,406,No Subject Provided,Y
+18887129671,2019-10-18 00:46:48,2019-10-18 00:46:48,,California,626,No Subject Provided,Y
4158852403,2019-10-18 01:00:46,2019-10-07 07:49:00,,California,415,"Reducing your debt (credit cards, mortgage, student loans)",Y
2028589559,2019-10-18 01:01:43,2019-10-17 17:08:00,Richton Park,Illinois,708,"Calls pretending to be government, businesses, or family and friends",Y
4154728916,2019-10-18 01:01:45,2019-10-04 12:47:00,,California,415,"Reducing your debt (credit cards, mortgage, student loans)",Y
7278883471,2019-10-18 01:02:13,2019-10-16 19:28:00,Billings,Montana,406,No Subject Provided,Y
8009353812,2019-10-18 01:02:49,2019-10-03 07:59:00,,California,415,No Subject Provided,Y
8284369902,2019-10-18 01:02:55,2019-10-16 07:10:00,,North Carolina,910,Work from home  & other ways to make money,N
,2019-10-18 01:02:57,2019-10-17 11:42:00,,Illinois,630,Dropped call or no message,Y
