Company_Phone_Number,Created_Date,Violation_Date,Consumer_City,Consumer_State,Consumer_Area_Code,Subject,Recorded_Message_Or_Robocall
5862503411,2019-11-12 00:00:04,2019-11-11 20:53:00,"Sterling Heights,",Michigan,586,No Subject Provided,N
9712563782,2019-11-12 00:00:58,2019-11-11 20:55:00,,Oregon,541,No Subject Provided,N
9142304311,2019-11-12 00:02:02,2019-11-11 00:00:00,Man,West Virginia,304,Other,Y
4804011268,2019-11-12 00:02:15,2019-11-11 19:58:00,Phoenix,Arizona,602,Other,N
6316058767,2019-11-12 00:02:38,2019-11-07 09:15:00,Vancouver,Washington,718,No Subject Provided,N
7242760343,2019-11-12 00:03:37,2019-11-08 08:56:00,,Michigan,248,No Subject Provided,
6467987217,2019-11-12 00:04:46,2019-11-06 17:17:00,Vancouver,Washington,718,No Subject Provided,Y
2484396541,2019-11-12 00:07:47,2019-11-09 17:31:00,,Michigan,248,No Subject Provided,
7189748209,2019-11-12 00:07:40,2019-11-06 10:21:00,Vancouver,Washington,718,No Subject Provided,Y
7187819192,2019-11-12 00:09:02,2019-11-06 08:46:00,Vancouver,Washington,718,No Subject Provided,Y
7188133599,2019-11-12 00:10:47,2019-11-05 12:23:00,Vancouver,Washington,718,No Subject Provided,Y
2158508638,2019-11-12 00:13:20,2019-11-11 14:29:00,Philadelphia,Pennsylvania,215,No Subject Provided,Y
6107986481,2019-11-12 00:14:46,2019-11-11 10:56:00,Philadelphia,Pennsylvania,215,No Subject Provided,Y
5752058654,2019-11-12 00:15:42,2019-11-11 10:14:00,,Texas,325,No Subject Provided,Y
9702414998,2019-11-12 00:16:17,2019-11-11 11:54:00,Grand Junction,Colorado,970,"Reducing your debt (credit cards, mortgage, student loans)",Y
2158874502,2019-11-12 00:16:25,2019-11-09 14:43:00,Philadelphia,Pennsylvania,215,No Subject Provided,Y
5204320461,2019-11-12 00:18:20,2019-11-11 09:16:00,concord,California,925,No Subject Provided,Y
9544296717,2019-11-12 00:19:15,2019-11-11 12:22:00,Spofford,New Hampshire,603,Dropped call or no message,Y
1626465790,2019-11-12 00:19:25,2019-11-11 23:52:00,phila,Pennsylvania,267,Other,N
8084001831,2019-11-12 00:19:26,2019-11-11 11:47:00,,Hawaii,808,No Subject Provided,N
9513494545,2019-11-12 00:19:28,2019-11-11 02:40:00,,Illinois,312,"Calls pretending to be government, businesses, or family and friends",N
9733079198,2019-11-12 00:20:11,2019-11-11 15:28:00,Spofford,New Hampshire,603,Dropped call or no message,Y
2518626425,2019-11-12 00:21:17,2019-11-11 15:50:00,Spofford,New Hampshire,603,Dropped call or no message,Y
2063095433,2019-11-12 00:22:00,2019-11-11 17:03:00,Auburn,Washington,206,Home improvement  & cleaning,Y
9253234592,2019-11-12 00:23:16,2019-11-11 21:20:00,S.F.,California,415,No Subject Provided,N
2512497870,2019-11-12 00:23:19,2019-11-11 12:12:00,e.st.louis,Illinois,618,"Calls pretending to be government, businesses, or family and friends",Y
9733079198,2019-11-12 00:23:31,2019-11-11 10:29:00,,District of Columbia,202,No Subject Provided,N
9197871054,2019-11-12 00:23:47,2019-11-11 19:17:00,Auburn,Washington,206,No Subject Provided,N
7025089675,2019-11-12 00:24:04,2019-11-11 12:51:00,Nice,California,707,Dropped call or no message,N
0000000000,2019-11-12 00:26:52,2019-11-12 00:00:00,phila,Pennsylvania,267,Other,N
2192159849,2019-11-12 00:29:09,2019-11-11 11:00:00,Saint Peter,Minnesota,507,Other,Y
3105974842,2019-11-12 00:29:26,2019-11-08 06:16:00,Henderson,Nevada,702,No Subject Provided,Y
2092554200,2019-11-12 00:29:59,2019-11-11 07:33:00,Newport Beach,California,949,Other,Y
7342067682,2019-11-12 00:32:15,2019-11-11 14:31:00,Saint Peter,Minnesota,507,Other,Y
6193759750,2019-11-12 00:35:22,2019-11-10 10:30:00,Saint Peter,Minnesota,507,No Subject Provided,Y
7148426784,2019-11-12 00:37:33,2019-11-11 17:57:00,Fullerton,California,714,Dropped call or no message,N
6505351002,2019-11-12 00:39:23,2019-11-11 16:52:00,Palo alto,California,650,Other,Y
6504241872,2019-11-12 00:41:25,2019-11-11 14:26:00,Palo alto,California,650,No Subject Provided,Y
3601509931,2019-11-12 00:44:18,2019-11-11 20:32:00,,Washington,360,Home improvement  & cleaning,N
5805899172,2019-11-12 00:48:06,2019-11-11 15:06:00,Lansing,Kansas,913,Dropped call or no message,N
8338274237,2019-11-12 00:50:14,2019-09-11 09:01:00,Murrieta,California,816,"Calls pretending to be government, businesses, or family and friends",Y
2025949403,2019-11-12 00:50:33,2019-11-11 13:43:00,Lansing,Kansas,913,Dropped call or no message,N
9066637194,2019-11-12 00:52:08,2019-11-11 16:15:00,,Michigan,313,No Subject Provided,Y
3133671419,2019-11-12 00:54:29,2019-11-04 15:16:00,,Michigan,313,No Subject Provided,Y
7148553130,2019-11-12 00:58:17,2019-11-11 16:36:00,,California,805,Dropped call or no message,Y
8662615915,2019-11-12 00:58:35,2019-11-11 11:03:00,Lansing,Kansas,913,Dropped call or no message,N
8562908064,2019-11-12 00:58:54,2019-11-11 13:45:00,Cordele,Georgia,229,No Subject Provided,Y
2816486867,2019-11-12 00:59:53,2019-11-11 09:38:00,,Texas,281,No Subject Provided,
5099930000,2019-11-12 00:59:21,2019-10-01 11:00:00,Milton Freewater,Oregon,509,Other,Y
9132504619,2019-11-12 01:00:15,2019-11-11 10:43:00,Lansing,Kansas,913,Dropped call or no message,N
6154788355,2019-11-12 01:00:56,2019-11-11 12:24:00,,Tennessee,615,No Subject Provided,N
8006698488,2019-11-12 01:01:02,2019-11-11 09:54:00,,Texas,281,No Subject Provided,
5132680955,2019-11-12 01:00:58,2019-11-11 14:36:00,Colerain Township,Ohio,513,Dropped call or no message,N
4017198945,2019-11-12 01:01:38,2019-11-08 09:03:00,,Washington,206,Dropped call or no message,N
7866870059,2019-11-12 01:02:22,2019-11-11 12:14:00,,Texas,281,No Subject Provided,
7428231962,2019-11-12 01:01:59,2019-11-12 11:21:00,,Oregon,971,Other,Y
2515171783,2019-11-12 01:02:29,2019-11-08 03:52:00,,Washington,206,Dropped call or no message,N
8449700740,2019-11-12 01:03:34,2019-11-11 13:31:00,,Texas,281,No Subject Provided,
6155835858,2019-11-12 01:03:31,2019-11-09 08:58:00,,Washington,206,Dropped call or no message,N
6678028795,2019-11-12 01:04:16,2019-11-11 09:36:00,Colerain Township,Ohio,513,Dropped call or no message,N
8448434198,2019-11-12 01:04:17,2019-11-11 09:28:00,,Washington,206,Dropped call or no message,N
4067518721,2019-11-12 01:04:45,2019-11-07 09:15:00,,Washington,206,Dropped call or no message,N
8006698488,2019-11-12 01:04:51,2019-11-11 14:44:00,,Tennessee,615,No Subject Provided,N
3038484920,2019-11-12 01:05:24,2019-11-06 16:54:00,,Washington,206,Dropped call or no message,N
5085289694,2019-11-12 01:06:20,2019-11-12 00:54:00,Lewes,Delaware,603,Other,Y
4259373439,2019-11-12 01:06:26,2019-11-06 14:45:00,,Washington,206,Dropped call or no message,N
4405348105,2019-11-12 01:07:42,2019-11-11 16:33:00,Muncy,Pennsylvania,570,No Subject Provided,Y
2672480393,2019-11-12 01:13:27,2019-11-11 16:38:00,Philadelphia,Pennsylvania,215,No Subject Provided,Y
2672480393,2019-11-12 01:14:14,2019-11-11 17:39:00,Philadelphia,Pennsylvania,215,No Subject Provided,Y
2672480393,2019-11-12 01:15:03,2019-11-11 18:39:00,Philadelphia,Pennsylvania,215,No Subject Provided,Y
2312440686,2019-11-12 01:15:47,2019-11-11 17:01:00,Philadelphia,Pennsylvania,215,No Subject Provided,Y
3022766066,2019-11-12 01:16:40,2019-11-11 19:43:00,Philadelphia,Pennsylvania,215,No Subject Provided,Y
9544295750,2019-11-12 01:16:49,2019-11-11 17:34:00,Peoria,Arizona,623,Dropped call or no message,Y
999999999,2019-11-12 01:21:34,2019-11-11 10:00:00,Raleigh,North Carolina,336,Work from home  & other ways to make money,Y
7572105665,2019-11-12 01:21:49,2019-11-11 13:36:00,,California,323,No Subject Provided,Y
9012094307,2019-11-12 01:23:24,2019-11-11 08:37:00,Germantown,Tennessee,901,No Subject Provided,Y
8337466984,2019-11-12 01:27:06,2019-11-11 09:29:00,Colerain Township,Ohio,513,Dropped call or no message,N
4159577401,2019-11-12 01:29:00,2019-11-11 13:15:00,Portland,Oregon,503,No Subject Provided,Y
5132680955,2019-11-12 01:36:21,2019-11-11 09:27:00,Colerain Township,Ohio,513,Dropped call or no message,N
5132680955,2019-11-12 01:38:03,2019-11-09 10:43:00,Colerain Township,Ohio,513,Dropped call or no message,N
,2019-11-12 01:41:10,2019-11-11 19:04:00,,Nevada,702,No Subject Provided,Y
4156137132,2019-11-12 01:41:41,2019-11-11 14:29:00,Gold Hill,Oregon,414,Other,Y
6678028795,2019-11-12 01:41:45,2019-11-11 09:09:00,Colerain Township,Ohio,513,Dropped call or no message,N
6158233102,2019-11-12 01:43:50,2019-09-30 16:03:00,Nashville,Tennessee,615,"Reducing your debt (credit cards, mortgage, student loans)",Y
9413791954,2019-11-12 01:44:34,2019-11-08 19:50:00,Colerain Township,Ohio,513,Dropped call or no message,N
8003472683,2019-11-12 01:45:50,2019-11-11 11:00:00,Irvine,California,949,"Reducing your debt (credit cards, mortgage, student loans)",Y
5139405376,2019-11-12 01:47:26,2019-11-08 19:36:00,Colerain Township,Ohio,513,Dropped call or no message,N
5134461600,2019-11-12 01:50:41,2019-10-01 16:43:00,Colerain Township,Ohio,513,Dropped call or no message,N
251315500,2019-11-12 01:51:41,2019-11-11 13:57:00,Glencoe,Minnesota,320,"Calls pretending to be government, businesses, or family and friends",Y
2348053906,2019-11-12 01:52:41,2019-11-11 18:28:00,FREMONT,Ohio,419,No Subject Provided,Y
8662002233,2019-11-12 01:54:33,2019-11-11 10:00:00,Saint Albans,West Virginia,304,No Subject Provided,Y
4403745687,2019-11-12 01:55:08,2019-11-11 18:39:00,FREMONT,Ohio,419,No Subject Provided,Y
5134275226,2019-11-12 01:57:13,2019-11-11 18:48:00,FREMONT,Ohio,419,No Subject Provided,Y
4493093992,2019-11-12 02:08:42,2019-11-08 13:33:00,Houston,Texas,713,Computer  & technical support,N
8008418289,2019-11-12 02:09:46,2019-11-11 13:43:00,Longview,Washington,940,"Calls pretending to be government, businesses, or family and friends",Y
7235973,2019-11-12 02:10:59,2019-11-11 16:17:00,jamaica,New York,718,Warranties  & protection plans,Y
7572105879,2019-11-12 02:22:21,2019-11-11 14:24:00,,California,310,No Subject Provided,Y
8335850144,2019-11-12 02:32:39,2019-11-11 13:14:00,,South Carolina,843,No Subject Provided,Y
8436489191,2019-11-12 02:35:50,2011-11-11 09:51:00,,South Carolina,843,No Subject Provided,Y
